Question,Answer,Distractors
What is the absolute distance between Forest 0 and the Single Fence Line?,4.12 tiles,8.06 tiles; 15.03 tiles; 9.43 tiles
"Which object is located diagonally above and to the left of Closed Fence at (6, 8)?","Closed Fence at (1, 8)",Forest 1; Single Fence Line; Forest 0
How far is Forest 1 from the Single Fence Line?,16.28 tiles,4.12 tiles; 15.03 tiles; 8.00 tiles
"What type of object is located at (1, 19)?",Mushroom,Forest; Closed Fence; Single Fence Line
"Which object is located at (1, 8)?","Closed Fence at (1, 8)","Closed Fence 6, 16; Single Fence Line; Forest 1"
How many tiles wide is Forest 0?,10 tiles,5 tiles; 11 tiles; 3 tiles
Which forest is located below Forest 1?,Forest 0,"Closed Fence at (6, 8); Single Fence Line; Closed Fence at (1, 8)"
"What direction does Closed Fence at (1, 8) relate to Forest 0?",Diagonally above and to the left,Diagonally below and to the right; Directly above; Diagonally below and to the left
Which object is 15.03 tiles away from Forest 0?,Forest 1,"Single Fence Line; Closed Fence at (1, 8); Mushroom"
"How many tiles tall is the closed fenced-in area at (6, 8)?",6 tiles,4 tiles; 3 tiles; 7 tiles
Which object is located directly below the Single Fence Line?,Nothing,Forest 0; Forest 1; Mushroom
"What is the distance between Closed Fence at (6, 8) and Closed Fence at (1, 8)?",5.00 tiles,9.43 tiles; 4.12 tiles; 8.54 tiles
What is the width of Forest 1?,11 tiles,10 tiles; 9 tiles; 12 tiles
At which coordinate is the Single Fence Line located?,"(6, 16)","(9, 0); (10, 15); (1, 19)"
"Which object is diagonally below and to the right of Closed Fence at (6, 8)?",Forest 0,Single Fence Line; Mushroom; Forest 1
"Which forest is located at (10, 15)?",Forest 0,Forest 1; Mushroom; Closed Fence
"How far is the mushroom at (1, 19) from Forest 0?",9.85,11.40 tiles; 4.12 tiles; 8.06 tiles
"What is the distance from Forest 1 to Closed Fence at (1, 8)?",11.31 tiles,15.03 tiles; 8.54 tiles; 9.43 tiles
"Which object is diagonally above and to the right of Closed Fence at (6, 8)?",Forest 1,Forest 0; Mushroom; Single Fence Line
What is the height of Forest 0?,5 tiles,7 tiles; 6 tiles; 11 tiles
At what coordinate is the closed fenced-in area located that has a width of 3 and height of 4?,"(1, 8)","(6, 8); (10, 15); (6, 16)"
